title,tags
The Lion King,young lion cub named simba wait king uncle craves title Family  Animation  Drama buena noventas corta RogerAllers JonathanTaylorThomas
The Mask,mask bank ipkiss crime lord dorian playboy exuding charm confidence Romance  Comedy  Crime  Fantasy buena noventas corta ChuckRussell JimCarrey
Maverick,enter try gambler need game marvelous southern dollar force woman Action  Adventure  Comedy  Drama  Western buena noventas media RichardDonner MelGibson
The Naked Gun 33⅓: The Final Insult,frank drebin persuaded state rocco celebrity academy award trying foil Comedy  Crime buena noventas corta PeterSegal LeslieNielsen
Ri¢hie Ri¢h,reggie jackson batting coach claudia schiffer personal trainer playmate whats Comedy  Family regular noventas corta DonaldPetrie MacaulayCulkin
Speed,los angeles swat cop jack traven bomb expert howard payne Action  Adventure  Crime buena noventas corta JandeBont KeanuReeves
True Lies,tasker secret agent united state government year kept job wife Action  Thriller buena noventas media JamesCameron ArnoldSchwarzenegger
Addams Family Values,sibling wednesday pugsley addams stop new morticia nanny debbie jellinsky Comedy  Family  Fantasy buena noventas corta BarrySonnenfeld RaúlJuliá
Beverly Hills Cop III,sunny southern california trail billy counterfeiting ring run gang shot Action  Comedy  Crime regular noventas corta JohnLandis EddieMurphy
A Bronx Tale,set bronx tumultuous adolescent boy torn honest workingclass father violent Drama  Crime buena noventas media RobertDeNiro RobertDeNiro
Carlito's Way,puertorican excon released prison pledge stay away drug violence despite Action  Crime  Drama  Thriller buena noventas media BrianDePalma AlPacino
Cliffhanger,year losing friend tragic foot fall rescue group stranded climber Action  Adventure  Thriller buena noventas corta RennyHarlin SylvesterStallone
Dazed and Confused,adventure group texas teen centering student randall floyd school jock Comedy  Drama buena noventas corta RichardLinklater JasonLondon
Demolition Man,phoenix violent frozen turn captor john utopia san angeles hearing Crime  Action  Science Fiction buena noventas corta MarcoBrambilla SylvesterStallone
The Firm,fbi life way mitch doesnt refuse seduced showered totally oblivious Drama  Mystery  Thriller buena noventas media SydneyPollack TomCruise
Free Willy,park make whale orphan jesse foster lindley develop routine plan Family  Adventure buena noventas corta SimonWincer JasonJamesRichter
The Fugitive,team wife richard killer chase discovers accused escape law expose Adventure  Action  Thriller  Crime  Mystery buena noventas media AndrewDavis HarrisonFord
Hot Shots! Part Deux,topper harley storm working oddjobman monastery cia want rescue Action  Comedy  War buena noventas corta JimAbrahams CharlieSheen
In the Line of Fire,president horrigan man ghost serving thirty year secret service agent Action  Drama  Thriller  Crime  Mystery buena noventas media WolfgangPetersen ClintEastwood
In the Name of the Father,gerry guilt gerrys father falsely implicated ira coerced british police crime Drama buena noventas media JimSheridan DanielDay-Lewis
Jurassic Park,dinosaur park entrepreneur secretly grandchild day invite team calm anxious Adventure  Science Fiction buena noventas media StevenSpielberg SamNeill
Last Action Hero,danny magical magic fictional movie character action hero jack new life Adventure  Fantasy  Action  Comedy  Family buena noventas media JohnMcTiernan ArnoldSchwarzenegger
Mrs. Doubtfire,irresponsible dad daniel hillard kid crushed court order allowing weekly Comedy  Drama  Family buena noventas media ChrisColumbus RobinWilliams
A Perfect World,run law headed honorable u boy strike friendship captor escaped Crime  Drama  Thriller buena noventas media ClintEastwood KevinCostner
Philadelphia,man willing lawyer join force sue prestigious law firm aid Drama buena noventas media JonathanDemme TomHanks
Robin Hood: Men in Tights,king sheriff john hood come home fighting crusade band fellow Comedy buena noventas corta MelBrooks CaryElwes
Schindler's List,story businessman oskar schindler saved worked slave factory world war Drama  History  War excelente noventas larga StevenSpielberg LiamNeeson
Sleepless in Seattle,story boy dad date death annie popular romantic station talk Comedy  Drama  Romance buena noventas corta NoraEphron TomHanks
Blade Runner,dystopian los angeles creator way extend short life blade runner Science Fiction  Drama  Thriller buena ochentas corta RidleyScott HarrisonFord
The Nightmare Before Christmas,tired scaring human jack christmas plan deliver shrunken head ghoulish Fantasy  Animation  Family buena noventas corta HenrySelick DannyElfman
